variables,code,PCapita plastic waste (kg per person per day),gdp_pc,otalpopulatio,year,Mismanaged plastic waste (tonnes),coastal_pop,variables
Russia,RUS,0.112,$23107.7852212759,142958164,2011,80759,10812537,Russia
Saint Helena,SHN,0.144,,4118,2011,96,6839,Saint Helena
Saint Kitts and Nevis,KNA,0.654,$21412.201453108002,52402,2011,715,36102,Saint Kitts and Nevis
Saint Lucia,LCA,0.522,$12123.8351390475,174267,2011,6709,163227,Saint Lucia
Saint Pierre and Miquelon,SPM,0.252,,NOT KNOWN,2011,11,5888,Saint Pierre and Miquelon
Saint Vincent and the Grenadines,VCT,0.221,$9915.57761891195,109333,2011,2245,120149,Saint Vincent and the Grenadines
Samoa,WSM,0.103,$5399.893096318379,183081,2011,5122,168025,Samoa
Sao Tome and Principe,STP,0.103,$2641.51394847294,165397,2011,5081,163740,Sao Tome and Principe
Saudi Arabia,SAU,0.156,$45421.2284797446,27448086,2011,20552,3593471,Saudi Arabia
Senegal,SEN,0.103,$2183.9950514176603,12433728,2011,254770,8125063,Senegal
Seychelles,SYC,0.358,$20365.118933151298,86518,2011,4619,91361,Seychelles
Sierra Leone,SLE,0.041,$1199.98985027502,5867536,2011,36408,2887017,Sierra Leone
Singapore,SGP,0.194,$72115.8395014504,5086418,2011,6472,4492494,Singapore
Sint Maarten (Dutch part),SXM,0.252,,NOT KNOWN,2011,70,37429,Sint Maarten (Dutch part)
Slovenia,SVN,0.145,$28678.3726303687,2029680,2011,556,336594,Slovenia
Solomon Islands,SLB,0.103,$1871.36935209356,538148,2011,20394,618678,Solomon Islands
Somalia,SOM,0.054,,9330872,2011,101531,5971169,Somalia
South Africa,ZAF,0.24,$11887.8050343927,50132817,2011,630005,12899201,South Africa
South Korea,KOR,0.112,$30352.104819030297,48183584,2011,33747,41654619,South Korea
Spain,ESP,0.277,$32507.0939660629,46076989,2011,45853,22771488,Spain
Sri Lanka,LKA,0.357,$8529.57144219453,20859949,2011,1591179,14568174,Sri Lanka
Sudan,SDN,0.103,$3366.09626107549,34136520,2011,22928,752529,Sudan
Suriname,SUR,0.163,$14211.877516325501,524636,2011,3942,402263,Suriname
Sweden,SWE,0.048,$42942.5625032962,9379687,2011,2150,6202234,Sweden
Syria,SYR,0.178,,20410606,2011,157904,3621997,Syria
Taiwan,TWN,0.252,,23025000,2011,45718,22211567,Taiwan
Tanzania,TZA,0.023,$2090.5832246757395,44841226,2011,48586,6688695,Tanzania
Thailand,THA,0.144,$13486.5624149548,69122234,2011,1027739,26043442,Thailand
Togo,TGO,0.057,$1208.2812098328,6027798,2011,35401,1991642,Togo
Tokelau,TKL,0.103,,1135,2011,43,1379,Tokelau
Tonga,TON,0.223,$4984.19362951029,104058,2011,6624,102872,Tonga
Trinidad and Tobago,TTO,3.6,$31260.907047176293,1341465,2011,94066,1358433,Trinidad and Tobago
Tunisia,TUN,0.144,$10436.3655998628,10480934,2011,234309,7274973,Tunisia
Turkey,TUR,0.212,$17959.2591065745,72752325,2011,485937,34042862,Turkey
Turks and Caicos Islands,TCA,0.252,,38354,2011,49,22570,Turks and Caicos Islands
Tuvalu,TUV,0.144,$2986.44985588888,9827,2011,457,11563,Tuvalu
Ukraine,UKR,0.103,$7824.49845171438,45448329,2011,128765,6812799,Ukraine
United Arab Emirates,ARE,0.199,$57232.618075764905,7511690,2011,3016,2018302,United Arab Emirates
United Kingdom,GBR,0.215,$36366.9831782522,62035570,2011,67549,43258889,United Kingdom
United States,USA,0.335,$49374.178885179695,310383948,2011,275424,112925034,United States
Uruguay,URY,0.252,$17082.4046586765,3368786,2011,21562,2433597,Uruguay
Vanuatu,VUT,0.295,$2948.03293729183,239651,2011,22478,251851,Vanuatu
Venezuela,VEN,0.252,$16544.9720552598,28979857,2011,102333,16094897,Venezuela
Vietnam,VNM,0.103,$4408.16861192198,87848445,2011,1833819,55858245,Vietnam
Yemen,YEM,0.103,$4478.7435991429,NOT KNOWN,2011,169181,6048920,Yemen
